OrderMonth,OrderCount,AvgOrderValue,AvgQuantity
1/1/2023,47,1206.08,3.11
2/1/2023,37,1084.26,2.76
3/1/2023,43,1130.45,2.93
4/1/2023,31,895.22,2.71
5/1/2023,49,1302.79,3.02
6/1/2023,45,1100.00,3.24
7/1/2023,44,973.20,2.70
8/1/2023,51,1065.73,3.41
9/1/2023,29,1018.16,2.97
10/1/2023,47,1119.32,3.19
11/1/2023,41,1050.72,2.78
12/1/2023,46,951.19,2.80
1/1/2024,32,1204.00,3.19
2/1/2024,32,1153.42,3.19
3/1/2024,36,1000.86,3.00
4/1/2024,50,992.26,2.94
5/1/2024,34,820.86,2.79
6/1/2024,53,1284.31,3.13
7/1/2024,43,999.16,2.88
8/1/2024,28,1142.54,3.07
9/1/2024,44,904.43,2.77
10/1/2024,31,1200.87,2.94
11/1/2024,35,926.11,2.77
12/1/2024,41,945.99,2.71
1/1/2025,27,1077.76,2.96
2/1/2025,37,954.53,2.68
3/1/2025,49,800.01,2.71
4/1/2025,32,994.41,2.78
5/1/2025,37,1172.88,3.05
6/1/2025,49,1082.60,2.98
