OrderMonth,OrderCount, GrossRevenue , RevenueLost 
1/1/2023,47,"56,685.75","22,698.34"
2/1/2023,37,"40,117.66","22,656.99"
3/1/2023,43,"48,609.37","23,950.60"
4/1/2023,31,"27,751.71","8,905.23"
5/1/2023,49,"63,836.84","23,489.14"
6/1/2023,45,"49,500.19","24,871.10"
7/1/2023,44,"42,820.66","8,578.75"
8/1/2023,51,"54,352.14","24,799.68"
9/1/2023,29,"29,526.67","15,586.82"
10/1/2023,47,"52,607.85","12,284.10"
11/1/2023,41,"43,079.67","16,438.11"
12/1/2023,46,"43,754.73","17,836.65"
1/1/2024,32,"38,528.08","10,293.92"
2/1/2024,32,"36,909.57","14,506.74"
3/1/2024,36,"36,030.90","13,696.01"
4/1/2024,50,"49,613.14","19,708.66"
5/1/2024,34,"27,909.11","10,971.42"
6/1/2024,53,"68,068.54","30,420.85"
7/1/2024,43,"42,963.98","18,232.57"
8/1/2024,28,"31,991.07","20,913.69"
9/1/2024,44,"39,794.98","9,895.77"
10/1/2024,31,"37,226.97","10,660.57"
11/1/2024,35,"32,413.76","11,942.33"
12/1/2024,41,"38,785.77","8,653.41"
1/1/2025,27,"29,099.40","10,675.12"
2/1/2025,37,"35,317.55","21,149.75"
3/1/2025,49,"39,200.66","19,698.19"
4/1/2025,32,"31,821.20","24,113.02"
5/1/2025,37,"43,396.64","22,726.96"
6/1/2025,49,"53,047.40","19,319.42"
