CustomerID,OrderCount,TotalSpend,AvgOrderValue,MostRecentOrder
C38840,2,5723.22998,2861.61499,6/8/2024
C57276,1,3456.399902,3456.399902,8/17/2023
C67260,1,3390.800049,3390.800049,5/2/2023
C13877,1,3384.899902,3384.899902,11/26/2023
C18404,1,3370.199951,3370.199951,2/28/2023
C16775,1,3353.75,3353.75,3/27/2023
C65986,1,3352.399902,3352.399902,7/1/2024
C47778,1,3334,3334,10/30/2023
C59183,1,3322.550049,3322.550049,2/28/2023
C25276,1,3313.899902,3313.899902,5/26/2023
C53464,1,3299.25,3299.25,6/29/2024
C13108,1,3293.850098,3293.850098,4/25/2024
C88029,1,3277.75,3277.75,6/14/2025
C27202,1,3267.350098,3267.350098,8/19/2024
C35987,1,3267.300049,3267.300049,9/4/2023
C36725,1,3253.600098,3253.600098,10/27/2024
C87281,1,3243.25,3243.25,1/29/2024
C84331,1,3223.199951,3223.199951,2/17/2024
C73575,1,3219.449951,3219.449951,1/12/2023
C88205,1,3215.149902,3215.149902,6/19/2024
